I, [2014-10-21T14:53:27.228078 #3033]  INFO -- Kitchen: -----> Starting Kitchen (v1.2.1)
E, [2014-10-21T14:53:27.228373 #3033] ERROR -- Kitchen: ------Exception-------
E, [2014-10-21T14:53:27.228404 #3033] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2014-10-21T14:53:27.228427 #3033] ERROR -- Kitchen: Message: Kitchen YAML file /Users/admin/Documents/GitRepos/chef_repo/cookbooks/django/.kitchen.yml does not exist.
E, [2014-10-21T14:53:27.228449 #3033] ERROR -- Kitchen: ------Backtrace-------
E, [2014-10-21T14:53:27.228469 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2014-10-21T14:53:27.228491 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:78:in `data'
E, [2014-10-21T14:53:27.228512 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:66:in `suites'
E, [2014-10-21T14:53:27.228533 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:90:in `filter_instances'
E, [2014-10-21T14:53:27.228571 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:72:in `build_instances'
E, [2014-10-21T14:53:27.228592 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/config.rb:52:in `instances'
E, [2014-10-21T14:53:27.228614 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:64:in `get_filtered_instances'
E, [2014-10-21T14:53:27.228636 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command.rb:85:in `parse_subcommand'
E, [2014-10-21T14:53:27.228657 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:37:in `block in call'
E, [2014-10-21T14:53:27.228678 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2014-10-21T14:53:27.228699 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/command/action.rb:36:in `call'
E, [2014-10-21T14:53:27.228724 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:47:in `perform'
E, [2014-10-21T14:53:27.228746 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:118:in `block (2 levels) in <class:CLI>'
E, [2014-10-21T14:53:27.228772 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2014-10-21T14:53:27.228793 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2014-10-21T14:53:27.228814 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/cli.rb:233:in `invoke_task'
E, [2014-10-21T14:53:27.228835 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2014-10-21T14:53:27.228856 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2014-10-21T14:53:27.228877 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `block in <top (required)>'
E, [2014-10-21T14:53:27.228901 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/lib/kitchen/errors.rb:81:in `with_friendly_errors'
E, [2014-10-21T14:53:27.228923 #3033] ERROR -- Kitchen: /opt/chefdk/embedded/apps/test-kitchen/bin/kitchen:13:in `<top (required)>'
E, [2014-10-21T14:53:27.228944 #3033] ERROR -- Kitchen: /usr/bin/kitchen:10:in `load'
E, [2014-10-21T14:53:27.228964 #3033] ERROR -- Kitchen: /usr/bin/kitchen:10:in `<main>'
E, [2014-10-21T14:53:27.228985 #3033] ERROR -- Kitchen: ----------------------
